URL,Name,Status,Notes,Instructions
https://odysee.com/@printshootrepeat:5/a-totally-not-pwinted-slovenian-rifle:d,A Totally Not Pwinted Slovenian Rifle | SPX-15 - YouTube,Maybe,"The SPX-15 is a lower designed for the Slovenian DI/Piston hybrid Perun X-16 family of rifles.

My Printer: https://amzn.to/3uU0FHA

Filament used for my 3D printed projects: https://bit.ly/3ufP1bz

PSR Merch: https://bit.ly/31dg3Ee

Link to all the gear I use: https://kit.co/PrintShootRepeat

Patreon: https://www.patreon.com/printshootrepeat

Moonlight Industries (chest rig I’m wearing) 10% off: “PRINT”

PSR CLIPS: https://bit.ly/3o6AevJ

Affiliate disclaimer: I earn a commission from the above links.",
https://odysee.com/@TheGatalog-HybridDesigns:0/FGC-9_MkII_Rev1:f,FGC-9 MKII,Todo,"The Gatalog presents:

The FGC-9 MKII - a fully documented, hybrid printable 9x19mm carbine.

Join the community: thegatalog.com

URL
lbry://@TheGatalog-HybridDesigns#0/FGC-9_MkII_Rev1#f
Claim ID
f9b6a2df7ad19b7bffbc7a0ead83b0d433d7b6ae
946.97 MB",
https://odysee.com/@AreWeCoolYet:7/AWCY-Scz0rpion-EVO-(3d-printed-CZ-Scorpion-EVO3):0?sunset=lbrytv,AWCY Scz0rpion EVO (3d printed CZ Scorpion EVO3),Maybe,"The long awaited Scz0rpion Evo from your friends at Are We Cool Yet?  Includes models, STEP,txt readmes and illustrated assembly guide.  3d printed gun arewecoolyet? awcy? cz scorpion evo URL lbry://@AreWeCoolYet#7/AWCY-Scz0rpion-EVO-(3d-printed-CZ-Scorpion-EVO3)#0 Claim ID 02bc37cf2e21279223f3859ab7e4c55847016208 87.64 MB",
https://odysee.com/@delta_mongoose:0/3dSCORPION:e,3d Printed Scorpion EVO AWKY,Maybe,3D Printed Scorpion EVO AWKY  Monero: 4346BmSSmfB2XoreGVFPVMJiWPpA5FXd7UntvUmS6GV1RcmiK9X2jdn6FqxwAnsxgxiZ3LNMnz7Ax2pdu1kbRp3VQXeu7By  3d printing 9mm hot guy scorpion scorpion evo URL lbry://@delta_mongoose#0/3dSCORPION#e Claim ID e00efc6656afc4f6d0fe2fe6459a586400752a7f 1.6 GB,
https://cults3d.com/en/3d-model/tool/sig-sauer-p320-250-lower-frame,STL file Sig Sauer P320-250 Lower Frame・3D printer design to download・Cults,Maybe,Frame compatible with the SIG P320 and P250 components. for 3dprint  3D PRINTER FILE INFORMATION  Design number: 502529  3D design format: STL Folder details  Last update: 2023-01-26 at 13:20  Publication date: 2021-08-24 at 12:21,
https://odysee.com/@hoffmantactical:3/Orca-V5.3:0?r=2aDZGs7DDG2yFGLCdktcVBDPBQ6mFt73,Orca V5.3,Maybe,"The Orca is a 3D printed AR-15 rifle. The goal of the project was to print as much of the AR-15 as possible, without compromising the performance.  Upgrade pack is here:  https://odysee.com/@hoffmantactical:3/Orca-Upgrades-V5.3.B:9?r=2aDZGs7DDG2yFGLCdktcVBDPBQ6mFt73  The following components that would be on a factory AR-15 have been replaced by printed or non-firearm parts, or made unnecessary: Upper, lower, handguard, buffer tube, barrel nut, stock, grip, takedown pins, buffer retainer, etc.… This list is not exhaustive, but gives the reader an idea of the scope of this project. The handguard and stock are attached to the receivers by tapered clips held in place by hose clamps. This system is strong and low profile. The split line of the upper and lower has been fully redesigned from the simple split on a standard AR-15. This has been done to improve the strength of the upper, the upper-lower connection, and make the parts easier to print. The barrel mount at a minimum should be printed from a high temperature filament, such as glass filled Nylon. Preferably the upper and handguard should also be printed from a high temp filament. These requirements, and the need for accurate prints that properly fit together, make this an advanced build. Proceed with care. Premade support and modifiers are included for convenience. With most printers the Orca will require approximately 100 hours of print time.  3dprinting ar15 guns hoffmantactical orca URL lbry://@hoffmantactical#3/Orca-V5.3#0 Claim ID 0d4ed10e121d6b371c4d688d06c24e630ec604a3 85.16 MB",
https://odysee.com/@hoffmantactical:3/LR-308-Super-Lower-V2.6:5,LR-308 Super Lower V2.6,Maybe,"V2.6 is the new LR-308 Super Lower. Compatible with LR-308 / DPMS Gen 1 / SR-25 uppers, this is the lower you need if you want to run 308 or 6.5 Creedmoor uppers  3dprinted dpms hoffmantactical lower lr308 URL lbry://@hoffmantactical#3/LR-308-Super-Lower-V2.6#5 Claim ID 5ae05703b3abf0c1f2a72c6f7192898c4c2d01b5",
https://odysee.com/@hoffmantactical:3/hoffman-tactical-ar-15-double-ribbed-super-lower:b?r=2aDZGs7DDG2yFGLCdktcVBDPBQ6mFt73,Hoffman Tactical Double Ribbed Super Lower,Maybe,"This is the download for the Hoffman Tactical AR-15 Double Ribbed lower. Two ribs is stronger then one, and allows for the use of ambidextrous equipment. The caveat is that this lower will not work with uppers that have a forward assist. Slick sides and side chargers only. Happy printing!  3dprinting ar15 guns hoffmantactical lower URL lbry://@hoffmantactical#3/hoffman-tactical-ar-15-double-ribbed-super-lower#b Claim ID b80c88415b2b5bdd73a9e41d4d9a0b25767e16ef 24.35 MB",
https://odysee.com/@hoffmantactical:3/AR-15-V3.1:f?r=2aDZGs7DDG2yFGLCdktcVBDPBQ6mFt73,AR-15 Super Lower V3.1,Maybe,"This is the V3.1 AR-15 Super (and Basic) Lower download. If you want to 3D print an AR-15 Lower, these are the files you are looking for. V3.1 has some minor improvements. I have also made the files much more organized and easier to use.  3dprinting ar15 cad guns hoffmantactical URL lbry://@hoffmantactical#3/AR-15-V3.1#f Claim ID f96abc3fb56fdf2d8b916117fc61a68e4443003a 22 MB",
https://odysee.com/@hoffmantactical:3/AR-9-Super-Lower-V1.2:e,AR-9 Super Lower V1.2,Maybe,"This is a minor update to the AR-9 Super Lower, but with big improvements. Feeding has been improved and the mag catch lever is stronger. This lower is designed to use most AR-9 uppers and feeds from Glock mags. The ejector and mag catch are 3D printed.  3dprinting ar-9 glockmag guns hoffmantactical URL lbry://@hoffmantactical#3/AR-9-Super-Lower-V1.2#e Claim ID e9f48a95505daa545a202293aef89a2a8acb3e9e 27.79 MB",
