Name,Cost,Attachments,URL,Calibers,WeightInOz,Demo,Type,Kind,Notes,Combo,Combo Cost,Builds,Requests,Donations,Created By,Created,Last Modified By,Last Modified,ProductCode,Id,Roles
Wilcox Product | RAPTAR S,"$10,380.00",,https://wilcoxind.com/products/combat-systems/fire-control-systems/product_combat_raptar-s,,,,,,,,$0.00,,,,Nicholas Preston,7/2/2023 12:50am,Nicholas Preston,7/2/2023 12:50am,,978,
alamo 15 trigger |Graves Alamo-15 FRT Trigger for sale,$300.00,Social media image from megatechammunution.com on 2023-07-02 at 12.10.38 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/lTsY5pRauy-aLWLppN1hJQ/MEFnxxuwctAjOE3o6HviSTXvl0cUtugDydIF7kcSjR3S7tX8U1LnBsLn_FzZRJoxOXoc6nwppt3FyaDUvgUbXL4p14yv5T4SbZY_CAUzoRC0BiqnuMoM3Jn5Yef1uLOZtlS1sRyW16NuVWac_zaQ43oBxwLrIL2u58LiutcKSjY/E2XIod0rlrUNahTIB85kKcx0JOBnHomrMZBDPHFFPnM),https://megatechammunution.com/index.php/product/alamo-15-trigger/,,,,,,,,$0.00,ARAK-Nid,,,Nicholas Preston,7/2/2023 12:10am,Nicholas Preston,7/2/2023 12:10am,,977,
Wraith HD 1080p Digital Rifle Scope w 4-32x50 Magnification,$499.97,Social media image from sightmark.com on 2023-07-01 at 5.56.44 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/r_0uwL-xa74x8oLTIgrRrA/4oelv18aQivk_tWQum8Nw-ZlCHj4iuKdnj-OjuoK8wPQesKtDJmFHSovpjQhps33OyiL9nX5bi2e96JvxOTNXLyaPOygzYDDwZqOLzuA_CSSpZX85B2Qs6ykq4DwnMYsAT-RkR2GHgsH3nOfrIWqXegleQaXwCbtd_RMp2_kXZk/94pviQMTXME6F8dFIB-HpQqNDYktudWMMZde1cgGbYA),https://sightmark.com/products/wraith-hd-4-32x50-digital-riflescope,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 5:56pm,Nicholas Preston,7/1/2023 5:56pm,,976,
FN M249S 200-Round Soft Ammo Pack – Coyote Brown,,Social media image from gunmagwarehouse.com on 2023-07-01 at 2.47.44 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/AZnIgFwyyEqHbrsskbROpw/Q5jQpctcdoH8lfaqxRpJJ3oyhMpQ3W5K-NFH6Rp96TbjDzZnlQYO5b0q5Rh_0Sc7H5HZ3ApkhuCL_I9SkE-ht0_Z3xvd32wSX2qVRK9-5khk5WFQlHtTpt_vZ2qTtAtgk-MX3NU1cWzNacCK5oLX3mKby2I6CHmQd9ECjjW4iaA/yOYLKVR0VVDncmws41c-vdI7nfZkO-Orwo_RulFNcaM),https://gunmagwarehouse.com/fn-m249s-200-round-soft-ammo-pack-coyote-brown.html?queryID=f94278ea52c28a117d9afa6498a66301&objectID=9372&indexName=magento_default_products,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 2:47am,Nicholas Preston,7/1/2023 2:47am,FNH Magazines,975,
E-Lander 6.8 SPC AR Magazines - Arm or Ally,$99.00,Social media image from www.armorally.com on 2023-07-01 at 2.44.02 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/GUWTNDzeAzG3L2-l9P3iRQ/c_NiTEsy4zM589mlPe727U53Jq9e2VBjPOEeUVJd3dws2jMO1le5FjrjqnoiebvcD34YIfeS6u952RYpF4wYKw2AVF4bQjo2uCctTmiAV_InJ3Fbwd72O5rbvpA1n6vhA1toHelet-NenUZ5w1UCq7or79QWwqzmAxrHTk1ZSig/p35HbDlrjZv-yhX6LjwMVNMA6w6GtWFy5Gd9iZGWY_o),https://www.armorally.com/shop/e-lander-6-8-spc-ar-magazines/,.224 Valkyrie,,,,,24 rnd,,$0.00,,,,Nicholas Preston,7/1/2023 2:44am,Nicholas Preston,7/1/2023 2:44am,,974,
HOGSTER Universal Thermal Attachment | Night Vision Guys,"$3,495.00",Social media image from nightvisionguys.com on 2023-07-01 at 2.37.22 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/GJryOvXwEY3MZGGrVBr_Pg/z_6XYu6Cu_EU0ZaNXMFPh10qpzgHSqxHys9rhHL36teKCm227lXXl2uxKcfR-g6UVtKwvr6erfKeKp6k4Do0i0OZpzawBHWoFFWVPUTd9CGYGH0bppzi7zvnKgxWUY_APqFG71oL_cYQcLvBH1u3Yd9VGPuuS9UI8A5_9AK9XGg/wNLed3qG3086Yz5vNLOip8uiFyu7X3RFGFmsMeIrqPY),https://nightvisionguys.com/thermal-devices/hogster-c-universal-ultra-compact-thermal-clip-on-attachment,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 2:37am,Nicholas Preston,7/1/2023 2:37am,,973,
The PROTON FXQ Thermal Imaging Front Attachment | Pulsar,,Social media image from www.pulsar-nv.com on 2023-07-01 at 2.34.25 AM.png (https://v5.airtableusercontent.com/v1/18/18/1688306400000/gEEp-tOVBWWL-orx6nwnNA/pdA3xW9MfgVT4uO1ilZ6WCH3GYRlXvXG7NL4xeqv6Dd_S7nKV57lm7sMRn8hcL7-xNH5LsoWPPIEFT_qiBVz_E9ihYG0gvpqJonGZgvtT3xhczZ9IkMWHuR8m-Itxo57-yTALD0ZXZkm6ntrNOt2sbqJh_Ez3_-xMojc-MVEyCM/ZFplVzz4z1AWrfv5LZGaBHvr1Vp8r2SzjI4Q5X4EbiM),https://www.pulsar-nv.com/glo/products/33/thermal-imaging-attachments/proton/,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 2:34am,Nicholas Preston,7/1/2023 2:34am,,972,
Bering Optics Battery Extender for all Hogsters and Yoters,,Social media image from feraltexasoutdoors.com on 2023-07-01 at 2.30.47 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/Qh92n-uaAMvWAq3jspQEOA/UQnnj2FRKKnrDkXXhQS-ALFaBvJx_1ULz0pmQgZOaW7w62Hg9ROze65HKMVFOZlJ8tzZOQD6NXsoBncQPlDU59PZSKecM8_Lq1ofCUikGbwH2-m7kxp6gPq8ayJHLx1YkJyxdiFfMp2f4jlsAnlzCqJJX8P8ORhVC3C40Yd_wh4/BJvTLbEgx4tNav9NIuRjrIq5C8i1uB3tXQmvqyyKw-I),https://feraltexasoutdoors.com/products/bering-optics-battery-extender-all-hogsters-and-yoters?variant=42717712154871,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 2:30am,Nicholas Preston,7/1/2023 2:30am,,971,
Pixels on Target VooDoo-S Multi-Mission Thermal Sight – Tactical Night Vision Company,"$17,999.00",Social media image from tnvc.com on 2023-07-01 at 2.19.10 AM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/9ph11nMj7-pm1vGS1miINg/KJv_2xcqsJWBY9ZznMsJxSLOffEQWQnkb4IGs28ZGnMg14qqQ3QE2U3k42rhEAwuyXSokG41Fszt6SCk1PTDZ4aUNZ9NF2rStg7YgdG-ggHerKBvEJ81vv4q_NXAaeihfJ4WyrqEIx-bHUaduo9mwQ/MjXUquFTMkIDeMyZGa5l-XQqfVfVNeHu1VxZoVoueck),https://tnvc.com/shop/pixels-on-target-voodoo-s/,,,,,,,,$0.00,,,,Nicholas Preston,7/1/2023 2:19am,Nicholas Preston,7/1/2023 2:19am,,970,
Infrared Magic Black IR Transparent Paint,,,https://anytimesign.com/infrared_magic_black_ir_transparent_paint.htm,,,,,,find your stuff in the dark,,$0.00,,,,Nicholas Preston,6/30/2023 11:58pm,Nicholas Preston,6/30/2023 11:58pm,,969,
