Name,Caliber,Image,Grain,MuzzleVelocity,MBPR-Torso,Force,Wound,BallisticCoefficient,Diameter,Found,Price_Per_Round,GelTest,Notes,Manufacturers,Zeroes
224 Valkyrie 60 Grain V-Max Varmint Express 20 Rounds By Hornady,.224 Valkyrie,,60.0,3300.0,439.0,1450.59,338.24,0.265,0.2240,https://www.midsouthshooterssupply.com/item/0000381531/224-valkyrie-60-grain-v-max-varmint-express-20-rounds,$1.500,,,,10
Controlled Chaos Valkyrie .224 - Underwood Ammo,.224 Valkyrie,,72.0,3100.0,435.0,1536.11,457.54,0.356,0.2240,https://www.underwoodammo.com/224-valkyrie-72-grain-controlled-chaos.html,$2.549,https://www.youtube.com/watch?v=6bgY-sOLRZ0&t=239s&ab_channel=AP2020Outdoors,,Underwood Ammo,1
224 Valkyrie 72gr. Controlled Chaos® Solid Monolithic Hunting & Self Defense Ammo,.224 Valkyrie,Social media image from underwoodammo.com on 2023-01-19 at 1.49.48 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/kU115f_cxheeQ9fGJUDNHQ/eEAJS6REySajz8NOTKd-CXhjzdZj5YOiOh6AJ0UAmR2zxMvOgeK5kfjUnZGiX2AHa2ocmEUZ9gTGUoGXqAtZF3s9aStrsLTH72SUdfD5sEESbnMT9RqArgoqDfaahgP-3UqesM1TU9kRI3FuvjDRM5V3ERV4D6CieCfAIyRPpl-6ty3lVHYYAFrwaGNCsTfSaOIZdu6PaCoGrp6GoplZew/XfHju3FiA7jFbZIEWjf53Lv7p00yg90rZKc33tzVwdw),72.0,3100.0,,1536.11,#ERROR!,0.356,,https://underwoodammo.com/224-valkyrie-72-grain-controlled-chaos/,,,,,
Hornady BHTP - 224 Valkyrie Black,.224 Valkyrie,,60.0,3000.0,438.0,1198.84,307.49,0.395,0.2240,https://www.rogerssportinggoods.com/hornady-black-rifle-ammunition-224-valkyrie-75-grain-81532,$1.850,,,,11
Federal Premium GOLD MEDAL BERGER .224 Valkyrie 80.5 grain Berger Boat Tail Target Centerfire Rifle Ammunition | Free Shipping over $49!,.224 Valkyrie,,80.5,2925.0,436.0,1529.02,539.66,0.441,0.2240,https://www.opticsplanet.com/federal-premium-gold-medal-224-valkyrie-80-5gr-berger-bt-target-rifle-ammo-20-ro.html,$2.575,,,Federal,8
Federal Premium SIERRA MATCHKING BTHP .224 Valkyrie 90 grain Sierra MatchKing Boat Tail Hollow Point Centerfire Rifle Ammunition | Free Shipping over $49!,.224 Valkyrie,,90.0,2700.0,419.0,1456.59,622.67,0.563,0.2240,https://www.opticsplanet.com/federal-premium-gold-medal-224-valkyrie-90gr-sierra-matchking-bthp-rifle-ammo-20.html,$2.475,,,Federal,2
500Rds of Hornady Match Ammunition 224 Valkyrie 88 Grain ELD Match,.224 Valkyrie,Social media image from www.bulkammunitionshop.com on 2022-11-26 at 3.40.22 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/S9_16iHom5UqOSoDuWCh4A/GZfTyy4n_Rv7cEXP3syQCDHByB0LyRbDAPAl8_qmDuLyvJWH1W3_nKQ0G3WGr1HrITMWyVKSD402qeUNqubHk1wI6UbboFBwmEKIS7bH-oe-zNK44vVPKw8nt8B68FBODv6lplUfiCpUbvSlYkCTe-JX3XAuA7Okfo_BFHpFlTlVhCew81AMNFdeFKqXjQQs4CV1XKvfffLBZbIN96gv9LHYdcpJI781BTT3VIc4uoQ/hZtLC9HanW3o_qShtAdFJCAuWj4ERXN80UDw7FNXrWY),88.0,2700.0,417.0,1424.22,595.30,0.545,0.2240,https://www.bulkammunitionshop.com/product/500rds-of-hornady-match-ammunition-224-valkyrie-88-grain-eld-match/,$0.711,,,,43
Federal American Eagle XM193 5.56 NATO 55 gr FMJ – MOA Customs,5.56 NATO,Social media image from moacustoms.com on 2023-02-14 at 9.05.30 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/chc1fIcRlx1BrCrO94SzKQ/wfP5tZANNu9RtDk3hiD4POABfmSZFtLTXBj3L9W89WuqVu4RpsOZzMFjiOtb_NTXiPiTQ_gQEf26ygXrKnMQduGTXFAaE3tPd6ZqJCH8T5sGQv2aepudsN7h1NVw6QplMSpcZ_I4vIKPCUxVfXlebo5qVvJboRoLzvFScLHw9snlixgPic7n2gdbRZKzSda3jqpxvQV62ETnKM6_srvstg/HnH76Pmz0rUiVdfpULcqYLPuCzxrg7xuGZ2EyLyAYQQ),55.0,3165.0,415.0,1223.14,272.59,0.246,0.2240,https://moacustoms.com/product/federal-american-eagle-xm193-5-56-nato-55-gr-fmj/,$0.440,,,,56
PMC - 5.56x45mm NATO Ammunition X-TAC M855 62 Grain Green Tip Steel Core,5.56 NATO,Image from www.bestowtraininggroup.com on 2022-11-25 at 10.19.55 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/1ad3m7zGk8QRsSXK22C2Rg/gaeDh2Cr2JeFiYXPSSBjjUrSbBW10YGUIPub7obBjqMUsUE0YTy4ODutkn03TNawv3mYSnBhL6oCKZ1gVgxg8FfOVSkYdQJnjFxQ2N7VcZXiS0Jw3NLZvOCB4LiKXuhSWPNY1-KbYgl5tdejaitlpDB9Y5dJx5sjP-KQrVwYhrDHv7lD9kJ8aR2SAfVyTC2Ub9hamzRBlPCgS2XSEXFTCA/-RsLV-PLUInCb42_zQPqhnGdNgF1-dlqOSSWfjAntD0),62.0,3100.0,429.0,1322.76,#ERROR!,0.304,,https://proarmory.com/shop/pmc-x-tac-5-56x45mm-nato-m855-62-grain-green-tip-10-box-limit/?attribute_pa_seletion=200-rounds-10-boxes-of-20,$0.335,,,,23
M855 Green Tip 62gr,5.56 NATO,Social media image from www.rogerssportinggoods.com on 2022-11-18 at 4.07.09 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/umqBBnYpjAJnIh6kej4VNA/ZQDd7-0eafLkXjTgjkrvNpCIOy-gWSjZif7uKkKxSzIldjer7GNWLIu5yaackZelZwogJl5tP-kkDoR1PgRICVPZG1a4WiFN-kw3AM8kJVoBtu7z1rT3OoTUSDp5a0h7wygEgu0aTGlWTEzFfiwFpRRb-PZuLwfoYDiCfXnljeR8A7EG-CYyIKuzqHoW9fAOkU1JNTDFDlCqScEawIi8QCa89I9Zd-aw3ZI13-b4vGc/6V4PaTWo-m4iamkcpnGozS0dvT_5Cd97xsRbwfH59Wc),62.6,3060.0,403.0,1301.32,341.41,0.243,0.2240,https://www.rogerssportinggoods.com/winchester-556-150-round-case,$0.867,,,,16
